president,startdate,enddate,,approve,disapprove,unsure
Barack Obama,10/29/13,11/1/13,,41,51,8
Barack Obama,10/28/13,10/30/13,,41,51,8
Barack Obama,10/27/13,10/29/13,,42,50,8
Barack Obama,10/26/13,10/28/13,,44,49,7
Barack Obama,10/25/13,10/27/13,,44,49,7
Barack Obama,10/24/13,10/26/13,,44,50,6
Barack Obama,10/23/13,10/25/13,,42,51,7
Barack Obama,10/22/13,10/24/13,,42,52,6
Barack Obama,10/21/13,10/23/13,,43,50,7
Barack Obama,10/20/13,10/22/13,,43,51,6
Barack Obama,10/19/13,10/21/13,,44,50,6
Barack Obama,10/18/13,10/20/13,,43,51,6
Barack Obama,10/17/13,10/19/13,,44,50,6
Barack Obama,10/16/13,10/18/13,,42,51,7
Barack Obama,10/15/13,10/17/13,,43,50,7
Barack Obama,10/14/13,10/16/13,,42,52,6
Barack Obama,10/13/13,10/15/13,,43,51,6
Barack Obama,10/12/13,10/14/13,,42,51,7
Barack Obama,10/11/13,10/13/13,,41,53,6
Barack Obama,10/10/13,10/12/13,,41,53,6
Barack Obama,10/9/13,10/11/13,,42,52,6
Barack Obama,10/8/13,10/10/13,,43,51,6
Barack Obama,10/8/13,10/10/13,,43,51,6
Barack Obama,10/7/13,10/9/13,,43,50,7
Barack Obama,10/6/13,10/8/13,,44,51,5
Barack Obama,10/5/13,10/7/13,,46,48,6
Barack Obama,10/4/13,10/6/13,,45,49,6
Barack Obama,10/3/13,10/5/13,,43,49,8
Barack Obama,10/2/13,10/4/13,,41,52,7
Barack Obama,10/1/13,10/3/13,,41,52,7
Barack Obama,9/30/13,10/2/13,,44,50,6
Barack Obama,9/29/13,10/1/13,,45,48,7
Barack Obama,9/28/13,9/30/13,,45,48,7
Barack Obama,9/27/13,9/29/13,,44,48,8
Barack Obama,9/26/13,9/28/13,,43,50,7
Barack Obama,9/25/13,9/27/13,,43,50,7
Barack Obama,9/24/13,9/26/13,,44,49,7
Barack Obama,9/23/13,9/25/13,,47,46,7
Barack Obama,9/22/13,9/24/13,,46,47,7
Barack Obama,9/21/13,9/23/13,,46,47,7
Barack Obama,9/20/13,9/22/13,,45,47,8
Barack Obama,9/19/13,9/21/13,,47,45,8
Barack Obama,9/18/13,9/20/13,,45,45,10
Barack Obama,9/17/13,9/19/13,,44,47,9
Barack Obama,9/16/13,9/18/13,,45,47,8
Barack Obama,9/15/13,9/17/13,,45,47,8
Barack Obama,9/14/13,9/16/13,,45,46,9
Barack Obama,9/13/13,9/15/13,,45,45,10
Barack Obama,9/12/13,9/14/13,,44,46,10
Barack Obama,9/11/13,9/13/13,,44,46,10
Barack Obama,9/10/13,9/12/13,,45,47,8
Barack Obama,9/9/13,9/11/13,,44,47,9
Barack Obama,9/8/13,9/10/13,,45,47,8
Barack Obama,9/7/13,9/9/13,,43,48,9
Barack Obama,9/6/13,9/8/13,,43,48,9
Barack Obama,9/5/13,9/7/13,,42,48,10
Barack Obama,9/4/13,9/6/13,,43,48,9
Barack Obama,9/3/13,9/5/13,,43,49,8
Barack Obama,9/2/13,9/4/13,,45,48,7
Barack Obama,9/1/13,9/3/13,,43,49,8
Barack Obama,8/31/13,9/2/13,,44,47,9
Barack Obama,8/30/13,9/1/13,,43,48,9
Barack Obama,8/29/13,8/31/13,,45,48,7
Barack Obama,8/28/13,8/30/13,,45,47,8
Barack Obama,8/27/13,8/29/13,,46,47,7
Barack Obama,8/26/13,8/28/13,,45,47,8
Barack Obama,8/25/13,8/27/13,,44,48,8
Barack Obama,8/24/13,8/26/13,,42,49,9
Barack Obama,8/23/13,8/25/13,,45,47,8
Barack Obama,8/22/13,8/24/13,,47,46,7
Barack Obama,8/21/13,8/23/13,,49,43,8
Barack Obama,8/20/13,8/22/13,,48,44,8
Barack Obama,8/19/13,8/21/13,,47,46,7
Barack Obama,8/18/13,8/20/13,,46,46,8
Barack Obama,8/17/13,8/19/13,,47,45,8
Barack Obama,8/16/13,8/18/13,,48,43,9
Barack Obama,8/15/13,8/17/13,,46,45,9
Barack Obama,8/14/13,8/16/13,,46,45,9
Barack Obama,8/13/13,8/15/13,,45,47,8
Barack Obama,8/12/13,8/14/13,,46,47,7
Barack Obama,8/11/13,8/13/13,,46,47,7
Barack Obama,8/10/13,8/12/13,,46,47,7
Barack Obama,8/9/13,8/11/13,,44,49,7
Barack Obama,8/8/13,8/10/13,,42,50,8
Barack Obama,8/7/13,8/9/13,,41,50,9
Barack Obama,8/6/13,8/8/13,,44,46,10
Barack Obama,8/5/13,8/7/13,,45,46,9
Barack Obama,8/4/13,8/6/13,,46,45,9
Barack Obama,8/3/13,8/5/13,,44,47,9
Barack Obama,8/2/13,8/4/13,,44,48,8
Barack Obama,8/1/13,8/3/13,,44,48,8
Barack Obama,7/31/13,8/2/13,,45,48,7
Barack Obama,7/30/13,8/1/13,,44,49,7
Barack Obama,7/29/13,7/31/13,,45,48,7
Barack Obama,7/28/13,7/30/13,,46,47,7
Barack Obama,7/27/13,7/29/13,,46,46,8
Barack Obama,7/26/13,7/28/13,,45,47,8
Barack Obama,7/25/13,7/27/13,,46,47,7
Barack Obama,7/24/13,7/26/13,,46,47,7
Barack Obama,7/23/13,7/25/13,,47,46,7
Barack Obama,7/22/13,7/24/13,,45,47,8
Barack Obama,7/21/13,7/23/13,,46,46,8
Barack Obama,7/20/13,7/22/13,,46,45,9
Barack Obama,7/19/13,7/21/13,,48,44,8
Barack Obama,7/18/13,7/20/13,,48,44,8
Barack Obama,7/16/13,7/19/13,,48,46,6
Barack Obama,7/15/13,7/18/13,,47,47,6
Barack Obama,7/14/13,7/16/13,,46,48,8
Barack Obama,7/13/13,7/15/13,,45,48,7
Barack Obama,7/12/13,7/14/13,,45,47,8
Barack Obama,7/11/13,7/13/13,,46,46,8
Barack Obama,7/10/13,7/12/13,,46,45,9
Barack Obama,7/9/13,7/11/13,,46,47,7
Barack Obama,7/8/13,7/10/13,,45,48,7
Barack Obama,7/7/13,7/9/13,,47,47,6
Barack Obama,7/6/13,7/8/13,,47,47,6
Barack Obama,7/5/13,7/7/13,,46,48,6
Barack Obama,7/3/13,7/6/13,,45,47,8
Barack Obama,7/2/13,7/5/13,,46,45,9
Barack Obama,7/1/13,7/3/13,,46,44,10
Barack Obama,6/30/13,7/2/13,,46,46,8
Barack Obama,6/29/13,7/1/13,,45,47,8
Barack Obama,6/28/13,6/30/13,,45,48,7
Barack Obama,6/27/13,6/29/13,,45,47,8
Barack Obama,6/26/13,6/28/13,,48,45,7
Barack Obama,6/25/13,6/27/13,,50,43,7
Barack Obama,6/24/13,6/26/13,,50,43,7
Barack Obama,6/23/13,6/25/13,,46,46,8
Barack Obama,6/22/13,6/24/13,,45,47,8
Barack Obama,6/21/13,6/23/13,,45,49,6
Barack Obama,6/20/13,6/22/13,,46,46,8
Barack Obama,6/19/13,6/21/13,,46,45,9
Barack Obama,6/18/13,6/20/13,,47,45,8
Barack Obama,6/17/13,6/19/13,,47,45,8
Barack Obama,6/16/13,6/18/13,,47,44,9
Barack Obama,6/15/13,6/17/13,,47,44,9
Barack Obama,6/14/13,6/16/13,,47,44,9
Barack Obama,6/13/13,6/15/13,,47,45,8
Barack Obama,6/12/13,6/14/13,,48,44,8
Barack Obama,6/11/13,6/13/13,,46,47,7
Barack Obama,6/10/13,6/12/13,,46,47,7
Barack Obama,6/9/13,6/11/13,,45,47,8
Barack Obama,6/8/13,6/10/13,,47,44,9
Barack Obama,6/7/13,6/9/13,,48,43,9
Barack Obama,6/6/13,6/8/13,,48,44,8
Barack Obama,6/5/13,6/7/13,,49,44,7
Barack Obama,6/4/13,6/6/13,,47,46,7
Barack Obama,6/3/13,6/5/13,,48,45,7
Barack Obama,6/2/13,6/4/13,,47,45,8
Barack Obama,6/1/13,6/3/13,,48,44,8
Barack Obama,5/31/13,6/2/13,,47,44,9
Barack Obama,5/30/13,6/1/13,,47,45,8
Barack Obama,5/29/13,5/31/13,,48,44,8
Barack Obama,5/28/13,5/30/13,,50,44,6
Barack Obama,5/27/13,5/29/13,,49,44,7
Barack Obama,5/26/13,5/28/13,,50,43,7
Barack Obama,5/25/13,5/27/13,,48,45,7
Barack Obama,5/24/13,5/26/13,,48,44,8
Barack Obama,5/23/13,5/25/13,,47,45,8
Barack Obama,5/22/13,5/24/13,,47,44,9
Barack Obama,5/21/13,5/23/13,,49,43,8
Barack Obama,5/20/13,5/22/13,,50,44,6
Barack Obama,5/19/13,5/21/13,,50,44,6
Barack Obama,5/18/13,5/20/13,,49,44,7
Barack Obama,5/17/13,5/19/13,,49,44,7
Barack Obama,5/16/13,5/18/13,,50,43,7
Barack Obama,5/15/13,5/17/13,,51,42,7
Barack Obama,5/14/13,5/16/13,,49,45,6
Barack Obama,5/13/13,5/15/13,,48,46,6
Barack Obama,5/12/13,5/14/13,,47,47,6
Barack Obama,5/11/13,5/13/13,,49,45,6
Barack Obama,5/10/13,5/12/13,,48,45,7
Barack Obama,5/9/13,5/11/13,,49,44,7
Barack Obama,5/8/13,5/10/13,,49,43,8
Barack Obama,5/7/13,5/9/13,,50,43,7
Barack Obama,5/6/13,5/8/13,,49,45,6
Barack Obama,5/5/13,5/7/13,,51,45,4
Barack Obama,5/4/13,5/6/13,,49,45,6
Barack Obama,5/3/13,5/5/13,,50,45,5
Barack Obama,5/2/13,5/4/13,,50,44,6
Barack Obama,5/1/13,5/3/13,,51,43,6
Barack Obama,4/30/13,5/2/13,,51,42,7
Barack Obama,4/29/13,5/1/13,,50,43,7
Barack Obama,4/28/13,4/30/13,,50,44,6
Barack Obama,4/27/13,4/29/13,,49,44,7
Barack Obama,4/26/13,4/28/13,,50,43,7
Barack Obama,4/25/13,4/27/13,,50,42,8
Barack Obama,4/24/13,4/26/13,,52,40,8
Barack Obama,4/23/13,4/25/13,,50,43,7
Barack Obama,4/22/13,4/24/13,,51,42,7
Barack Obama,4/21/13,4/23/13,,48,45,7
Barack Obama,4/20/13,4/22/13,,51,43,6
Barack Obama,4/19/13,4/21/13,,50,43,7
Barack Obama,4/18/13,4/20/13,,53,41,6
Barack Obama,4/17/13,4/19/13,,51,42,7
Barack Obama,4/16/13,4/18/13,,51,43,6
Barack Obama,4/15/13,4/17/13,,49,43,8
Barack Obama,4/14/13,4/16/13,,49,43,8
Barack Obama,4/13/13,4/15/13,,50,43,7
Barack Obama,4/12/13,4/14/13,,48,46,6
Barack Obama,4/11/13,4/13/13,,48,46,6
Barack Obama,4/10/13,4/12/13,,48,47,5
Barack Obama,4/9/13,4/11/13,,50,45,5
Barack Obama,4/8/13,4/10/13,,49,44,7
Barack Obama,4/7/13,4/9/13,,49,43,8
Barack Obama,4/6/13,4/8/13,,49,42,9
Barack Obama,4/5/13,4/7/13,,48,44,8
Barack Obama,4/4/13,4/6/13,,49,44,7
Barack Obama,4/3/13,4/5/13,,48,46,6
Barack Obama,4/2/13,4/4/13,,48,47,5
Barack Obama,4/1/13,4/3/13,,47,48,5
Barack Obama,3/30/13,4/2/13,,48,46,6
Barack Obama,3/29/13,4/1/13,,47,47,6
Barack Obama,3/28/13,3/30/13,,48,47,5
Barack Obama,3/27/13,3/29/13,,46,47,7
Barack Obama,3/26/13,3/28/13,,48,46,6
Barack Obama,3/25/13,3/27/13,,49,43,8
Barack Obama,3/24/13,3/26/13,,49,43,8
Barack Obama,3/23/13,3/25/13,,48,45,7
Barack Obama,3/22/13,3/24/13,,47,46,7
Barack Obama,3/21/13,3/23/13,,48,45,7
Barack Obama,3/20/13,3/22/13,,47,45,8
Barack Obama,3/19/13,3/21/13,,47,46,7
Barack Obama,3/18/13,3/20/13,,46,45,9
Barack Obama,3/17/13,3/19/13,,48,44,8
Barack Obama,3/16/13,3/18/13,,50,43,7
Barack Obama,3/15/13,3/17/13,,49,45,6
Barack Obama,3/14/13,3/16/13,,47,46,7
Barack Obama,3/13/13,3/15/13,,47,46,7
Barack Obama,3/12/13,3/14/13,,48,46,6
Barack Obama,3/11/13,3/13/13,,48,46,6
Barack Obama,3/10/13,3/12/13,,49,45,6
Barack Obama,3/9/13,3/11/13,,49,44,7
Barack Obama,3/8/13,3/10/13,,49,44,7
Barack Obama,3/7/13,3/9/13,,50,43,7
Barack Obama,3/6/13,3/8/13,,49,44,7
Barack Obama,3/5/13,3/7/13,,49,44,7
Barack Obama,3/4/13,3/6/13,,47,46,7
Barack Obama,3/3/13,3/5/13,,48,44,8
Barack Obama,3/2/13,3/4/13,,49,44,7
Barack Obama,3/1/13,3/3/13,,46,46,8
Barack Obama,2/28/13,3/2/13,,46,46,8
Barack Obama,2/27/13,3/1/13,,47,45,8
Barack Obama,2/26/13,2/28/13,,51,43,6
Barack Obama,2/25/13,2/27/13,,51,43,6
